episode,timestep,reward
26,2000,-105.4523
46,4000,-107.682
61,6000,-127.0677
86,8000,-106.2604
105,10000,-116.7034
123,12000,-108.9339
141,14000,-117.7914
164,16000,-117.9331
187,18000,-108.9162
209,20000,-117.0105
231,22000,-116.8579
261,24000,-112.891
282,26000,-116.2122
312,28000,-113.7954
342,30000,-92.5926
366,32000,-114.7127
394,34000,-99.0157
430,36000,-97.6391
457,38000,-115.551
481,40000,-116.4775
505,42000,-115.6947
531,44000,-98.8413
560,46000,-104.8823
586,48000,-105.8888
611,50000,-110.4109
637,52000,-100.2818
663,54000,-113.9604
682,56000,-110.2896
717,58000,-83.0362
745,60000,-99.0852
770,62000,-104.4518
794,64000,-114.6503
826,66000,-112.5858
853,68000,-111.5123
871,70000,-125.5473
890,72000,-122.2897
920,74000,-99.9121
953,76000,-112.0382
979,78000,-99.6979
1009,80000,-92.9312
1034,82000,-114.5177
1059,84000,-106.514
1077,86000,-121.9983
1107,88000,-115.028
1128,90000,-117.9281
1156,92000,-99.6081
1182,94000,-107.4381
1212,96000,-114.6635
1239,98000,-115.3471
1267,100000,-106.9979
1292,102000,-108.9441
1325,104000,-111.3912
1346,106000,-108.2056
1377,108000,-95.7383
1405,110000,-113.9451
1432,112000,-115.868
1466,114000,-93.4219
1498,116000,-111.861
1532,118000,-113.1439
1569,120000,-105.1297
1603,122000,-108.7608
1642,124000,-101.0145
1666,126000,-108.9668
1704,128000,-105.8641
1737,130000,-106.4913
1766,132000,-114.5694
